last_train_year,test_year,n_train,n_test,ppml_rmse_eur_thousands,ppml_mae,ppml_r2,xgb_rmse_eur_thousands,xgb_mae,xgb_r2,winner
2017,2018,784,112,15383.069738593149,6674.588883149635,0.9562267801941261,11476.963543454038,4563.736683394222,0.9756344353966496,xgb
2018,2019,896,112,43466.43994302839,11671.529193037384,0.686527846216735,42565.233703224345,11226.877188451477,0.6993917678826409,xgb
2019,2020,1008,112,15685.972334685499,5403.361771591195,0.9524887939154891,26627.695021207124,9271.956521923214,0.8630883784731874,ppml
2020,2021,1120,111,36220.38993751208,11766.630327247025,0.877665955788282,39886.44776764451,13028.713209915659,0.8516485447197779,ppml
2021,2022,1231,111,49570.152931363446,15043.699204020355,0.8454590508231143,45853.034083651044,15434.501977597023,0.8677671939478536,xgb
