number,value,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,state
89,33281.87482383622,0.1,6,5,500,0.1,5.0,COMPLETE
90,33281.87482383622,0.1,6,5,500,0.1,5.0,COMPLETE
91,33281.87482383622,0.1,6,5,500,0.1,5.0,COMPLETE
92,33281.87482383622,0.1,6,5,500,0.1,5.0,COMPLETE
93,33281.87482383622,0.1,6,5,500,0.1,5.0,COMPLETE
94,33281.87482383622,0.1,6,5,500,0.1,5.0,COMPLETE
95,33933.53746201393,0.1,4,5,500,0.1,5.0,COMPLETE
96,36097.30309040371,0.1,6,10,500,0.1,5.0,COMPLETE
97,35147.36500802134,0.1,6,5,500,0.1,3.0,COMPLETE
98,36158.144627710026,0.1,5,5,500,1.0,5.0,COMPLETE
99,38747.58346200114,0.1,6,20,500,0.1,5.0,COMPLETE
