last_train_year,test_year,n_train,n_test,ppml_rmse_eur_thousands,ppml_mae,ppml_r2
2017,2018,896,112,16577.746059176465,6863.878138998371,0.9491637577385102
2018,2019,1008,112,43786.90287852531,11901.351046631204,0.6818885649203389
2019,2020,1120,112,16890.162363672807,5622.492077806384,0.9449140536666211
2020,2021,1232,111,36634.35925364342,12145.935007066932,0.8748536204137635
2021,2022,1343,111,50860.60055518829,15497.151850026246,0.8373080645630133
