number,value,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,state
89,9112.032285533587,0.05,4,5,500,1.0,3.0,COMPLETE
90,9993.17002920331,0.05,4,5,500,5.0,3.0,COMPLETE
91,8486.61520319287,0.05,4,5,500,0.1,3.0,COMPLETE
92,8486.61520319287,0.05,4,5,500,0.1,3.0,COMPLETE
93,8486.61520319287,0.05,4,5,500,0.1,3.0,COMPLETE
94,8486.61520319287,0.05,4,5,500,0.1,3.0,COMPLETE
95,8486.61520319287,0.05,4,5,500,0.1,3.0,COMPLETE
96,8727.94485081355,0.1,4,5,500,0.1,3.0,COMPLETE
97,8486.61520319287,0.05,4,5,500,0.1,3.0,COMPLETE
98,10366.194844983833,0.01,4,5,500,0.1,3.0,COMPLETE
99,9415.70750783337,0.05,4,10,500,0.1,5.0,COMPLETE
