last_train_year,test_year,n_train,n_test,ppml_rmse_eur_thousands,ppml_mae,ppml_r2,xgb_rmse_eur_thousands,xgb_mae,xgb_r2,winner
2017,2018,784,112,4302.627564004031,1447.4567027028386,0.8033477166028606,3313.6922830891945,1029.9105710600957,0.8833577640809495,xgb
2018,2019,896,112,3316.447950227268,1244.9827528185208,0.882251120797257,3181.4722542557374,1090.5950908673315,0.891640575257912,xgb
2019,2020,1008,112,7081.574824299679,2271.1012168439415,0.7118859843299317,5734.0583177361805,1721.5489748551477,0.8111013299806566,xgb
2020,2021,1120,111,13794.160027283086,3752.4920758322633,0.5326754216295531,13251.06522329845,3617.487024608657,0.5687494259947503,xgb
2021,2022,1231,111,14830.816167562643,4477.8603913510515,0.6850083460977701,16952.78793758479,4537.370699039198,0.5884229005049377,ppml
mean,mean,5039,558,8665.125306675342,2638.7786279097236,0.7230337178914745,8486.61520319287,2399.3824720860857,0.7486543991638411,n/a
