year,flow,hs_section,share_of_flow_pct
2012,export,18 Optical. medical. photog. musical instr,0.10793112690237666
2012,export,19 Arms and ammunition,0.0
2012,export,20 Miscellaneous manufactured articles,0.888077594512173
2012,export,21 Works of art,0.029336984158028555
2013,import,01 Live animals,4.3187537437787435
2013,import,02 Vegetable products,5.077411238502235
2013,import,03 Edible oils,1.0481559682213157
2013,import,04 Prepared foodstufs beverageas and tobacco,13.389447311073663
2013,import,05 Mineral products,19.651924021554365
2013,import,06 Product of chemical industries,7.768848739293354
2013,import,07 Plastics. rubber and articles therof,6.049170641996551
2013,import,08 Leather and their articles,0.20003568711788958
2013,import,09 Wood and articles of wood,2.156294060218132
2013,import,10 Paper and their articles,1.5823194421703322
2013,import,11 Textils and textile articles,3.577531488573385
2013,import,12 Footwear,0.9781700184927868
2013,import,13 Articl. of stone. plaster. ceramic product and glass,3.9513887556179648
2013,import,14 Pearls. precious stones. metals etc,0.07986727985356032
2013,import,15 Base metal and articles of base metal,10.092553764439707
2013,import,16 Machinery. appliances and electric materials,10.486296187562345
2013,import,17 Transport means,5.531993256196349
2013,import,18 Optical. medical. photog. musical instr,1.0615896773582387
2013,import,19 Arms and ammunition,0.04728338960655565
2013,import,20 Miscellaneous manufactured articles,2.8709755526909677
2013,import,21 Works of art,0.07998977568155657
2013,export,01 Live animals,0.0530893943725242
2013,export,02 Vegetable products,5.243598644178544
2013,export,03 Edible oils,0.015654565007282777
2013,export,04 Prepared foodstufs beverageas and tobacco,6.580702685778848
2013,export,05 Mineral products,16.454989722437755
2013,export,06 Product of chemical industries,0.5918106206014075
2013,export,07 Plastics. rubber and articles therof,6.195464259947455
2013,export,08 Leather and their articles,3.9786417282639768
2013,export,09 Wood and articles of wood,0.7262356896856835
2013,export,10 Paper and their articles,0.5958944201685248
2013,export,11 Textils and textile articles,4.339377356692667
2013,export,12 Footwear,0.22154612651611058
2013,export,13 Articl. of stone. plaster. ceramic product and glass,0.4066783735587591
2013,export,14 Pearls. precious stones. metals etc,0.038455779257020734
2013,export,15 Base metal and articles of base metal,48.97530662528416
2013,export,16 Machinery. appliances and electric materials,4.284586379167177
2013,export,17 Transport means,0.17424211486366917
2013,export,18 Optical. medical. photog. musical instr,0.19125794639332436
2013,export,19 Arms and ammunition,0.0
2013,export,20 Miscellaneous manufactured articles,0.8892473557397803
