flow,scope,hhi,n_partners_nonzero,top_5_share_pct,top_10_share_pct,top_20_share_pct,top_50_share_pct
import,2024,711.7434607259462,169,51.03611118393487,68.95082449492709,85.29557437879718,98.0458620152116
import,cum2010_2024,622.2506408191157,227,47.96965299691421,69.64447572785275,85.52648393368192,98.12623003127744
export,2024,898.6819051624096,135,59.03728013741644,77.46713644108812,93.56601781457466,99.42549002788361
export,cum2010_2024,741.6564546652485,179,51.279354587602,75.63041448161947,92.2836854852352,99.33805619851988
