year,beta,se,t_stat,ci_low_95,ci_high_95,status,reason
2011,-0.19134479858771591,0.06575757137247788,-2.909851969803757,-0.3202296384777725,-0.062459958697659274,ok,
2012,0.04602084307093435,0.22495475804057716,0.20457821595679762,-0.3948904826885969,0.4869321688304656,ok,
2013,0.35705154081629953,0.4517073861284495,0.7904487546164826,-0.5282949359954615,1.2423980176280605,ok,
2014,0.6786518904136467,0.715205256759167,0.9488910826646384,-0.7231504128343207,2.0804541936616143,ok,
2015,0.6347937696882315,0.7706243483662906,0.8237395704327052,-0.875629953109698,2.145217492486161,ok,
2016,0.7335441186460603,0.5705382865607056,1.2857053346375393,-0.38471092301292265,1.8517991603050432,ok,
2017,0.7574107921828208,0.7228459945521983,1.0478176511886674,-0.6593673571394878,2.1741889415051294,ok,
2018,0.4147085824516602,0.8420654951868518,0.4924896992242125,-1.2357397881145693,2.06515695301789,ok,
2019,-4.0155633860801485,0.70106224884243,-5.727827154736273,-5.389645393811311,-2.6414813783489857,ok,
2020,-0.4117705765117936,0.7485297477289132,-0.5501058278059512,-1.8788888820604634,1.0553477290368762,ok,
2021,-0.1269356173969065,0.7929432222810924,-0.1600815970552666,-1.6811043330678475,1.4272330982740344,ok,
2022,0.017734396949862508,0.6840661399976389,0.025924974082072998,-1.3230352374455097,1.3585040313452346,ok,
2023,-0.7803200494484184,0.7700498741458488,-1.0133370261425747,-2.289617802774282,0.7289777038774452,ok,
2024,-1.2000291753753292,0.8121164075716293,-1.4776566070911277,-2.7917773342157224,0.3917189834650643,ok,
