country_name,year,gdp_usd_current,gdp_growth_pct,population,fdi_pct_gdp,inflation_pct
Albania,2024,27046429296.6673,4.04592845095348,2377128.0,6.32349466068578,2.21587375089991
Albania,2023,23491242727.4082,4.01541716935742,2414095.0,6.90036950940795,4.75834555150038
Albania,2022,19017247013.8821,4.8268006234359,2451636.0,7.57934042905775,6.72520271530059
Albania,2021,18031989573.0294,8.96957619074095,2489762.0,6.75791457973236,2.04147163139544
Albania,2020,15241458744.5927,-3.31375636888916,2528480.0,7.01865154497786,1.6208866171702
Albania,2019,15585111614.0376,2.06257790176122,2567801.0,7.70621465029911,1.41109078954242
Albania,2018,15379508329.7568,3.67141928098908,2607733.0,7.83109146132114,2.02805963071134
Albania,2017,13258268435.6048,3.28317593330073,2648285.0,7.71411336285186,1.98666133171194
Albania,2016,11988668784.6628,3.90893551362245,2689469.0,8.71147225448456,1.27543168367423
Albania,2015,11470171826.9575,2.2277040745779,2731293.0,8.62740636982337,1.89617402592356
Albania,2014,13296322588.1684,2.24022695382642,2773767.0,8.64846635716115,1.62586504402613
Albania,2013,12796985886.1478,1.7072283175406,2816902.0,9.80035898039468,1.93762080205223
Albania,2012,12246499747.9714,0.984129880204108,2860708.0,7.49597513325321,2.03159268395296
Albania,2011,12973755874.5365,2.46351683915714,2905195.0,8.08329285826067,3.42807130141501
Albania,2010,12086545641.299,2.97315442681247,2913021.0,9.01744998049889,3.62710091517479
Albania,2009,12335540656.1006,2.69075152362146,2927519.0,10.9068201480963,2.26692209450826
United Arab Emirates,2024,552324846834.581,3.99180705485398,10986400.0,8.26261712974626,1.66336510224894
United Arab Emirates,2023,522622191967.325,4.30118228020602,10483751.0,5.87184069440898,1.62670837213248
United Arab Emirates,2022,511403403675.97,7.51448425801082,10074977.0,4.44591399207935,5.29122604376849
United Arab Emirates,2021,422441388699.796,4.55278571242283,9575152.0,4.89230472033291,0.179935336174431
United Arab Emirates,2020,357161878829.135,-8.69342617885171,9401038.0,5.56735507865122,-2.07940317940943
United Arab Emirates,2019,433926208304.969,1.27134240761141,9445785.0,4.11928564301823,-1.93108114782172
United Arab Emirates,2018,440560108917.631,1.53716683173516,9346701.0,2.35729150002132,3.06863379251996
United Arab Emirates,2017,403365010211.028,-1.06137661464977,9223225.0,2.56696112401594,1.96682557818842
United Arab Emirates,2016,381717086453.37,5.65793329224303,8935095.0,2.51620200951453,1.61748808904197
United Arab Emirates,2015,381973042886.317,7.08767348587587,8505237.0,2.23861395699196,4.06996608361593
United Arab Emirates,2014,424935874744.724,4.63288144983127,8059440.0,2.60546065371654,2.34626865671642
United Arab Emirates,2013,409632675289.313,4.91847806719888,7693031.0,2.38382217021709,1.1011183637571
United Arab Emirates,2012,392793464942.138,4.6832657020049,7391448.0,2.43554239157448,0.662268900269008
United Arab Emirates,2011,368881143635.126,6.73646786920814,7104538.0,1.938861867408,0.87734659568512
United Arab Emirates,2010,307736419332.88,1.60285004671343,6869838.0,2.85854032456409,0.877983288285867
United Arab Emirates,2009,253547358747.447,-5.24292190384988,6707058.0,0.447367365845778,1.5618131744907
Argentina,2024,638365455340.04,-1.34293072157739,45696159.0,1.82409522925391,219.883929014578
Argentina,2023,649461687959.174,-1.85578803046339,45538401.0,3.81190879856952,133.488935594175
Argentina,2022,633993756301.08,6.02074537534855,45407904.0,2.3984601182853,72.430757531824
Argentina,2021,486564085480.036,10.4418119882506,45312281.0,1.36838083162438,48.4093786255199
Argentina,2020,385740508436.965,-9.9004848136464,45191965.0,1.26616924308721,42.0150947376509
Argentina,2019,447754683615.225,-2.00086100285785,44973465.0,1.48500687570697,53.5483043492339
Argentina,2018,524819892360.176,-2.61739646282038,44654882.0,2.23253157689253,34.2772237131003
Argentina,2017,643628393281.364,2.81850297775918,44288894.0,1.78936504083806,
Argentina,2016,557532320662.955,-2.08032784377811,43900313.0,0.584748941173009,
Argentina,2015,594749285413.212,2.73115982828944,43477012.0,1.97713461784426,
Argentina,2014,526319673731.638,-2.51261532081394,43024071.0,0.962406650325519,
Argentina,2013,552025140252.246,2.40532378079436,42582455.0,1.77920553648531,
Argentina,2012,545982375701.128,-1.0264204544321,42161721.0,2.80667189982932,
Argentina,2011,530158122010.442,6.00395169280579,41730660.0,2.04465997872008,
Argentina,2010,423627422092.49,10.1253981561002,41288694.0,2.67516171886535,
Argentina,2009,332976484577.619,-5.91852507634947,40854831.0,1.20643922647566,
Australia,2024,1757022451652.83,1.37340773365975,27196812.0,3.03883928325354,3.16656665428797
Australia,2023,1734451264655.6,3.58382100798981,26659922.0,2.03614704389564,5.59701792296707
Australia,2022,1695627535475.8,4.25304559238732,26018721.0,4.05215286724898,6.59409658717841
Australia,2021,1560617493202.69,2.00694844335034,25685412.0,2.01542405903096,2.86391284709318
Australia,2020,1333336461648.09,-0.133531904304775,25649248.0,1.34826011276187,0.846900734607273
Australia,2019,1398349602956.35,2.19401703622717,25334826.0,2.77077560426989,1.610770929127
Australia,2018,1433144978761.67,2.87417039499501,24963258.0,4.23450805251819,1.91140002818579
Australia,2017,1330890554614.09,2.29331030192918,24592588.0,3.62158795648508,1.94864309065653
Australia,2016,1211588128417.61,2.75564065529868,24190907.0,3.54660341826144,1.27699365720306
Australia,2015,1356805839935.9,2.16434780647852,23815995.0,3.456117831131,1.50836803138463
Australia,2014,1474677007565.64,2.60118978187332,23475686.0,4.28599049307814,2.48792932080492
Australia,2013,1583737461925.39,2.65445302592404,23128129.0,3.43950309398958,2.44988248109259
Australia,2012,1552728401401.58,3.95247138119184,22733465.0,3.70774989384992,1.76278299052228
Australia,2011,1402939868653.4,2.39473494330615,22340024.0,4.67434620832808,3.30384784681081
Australia,2010,1152566632022.13,2.21004795300735,22031750.0,3.08482804330762,2.9183370211222
Australia,2009,931761689770.843,1.95484826298522,21691653.0,3.10519028312049,1.77112025681656
Austria,2024,534790720466.822,-0.659089573171372,9177982.0,2.55351579610657,2.93791574279375
Austria,2023,516670509628.876,-0.786244288594673,9131761.0,0.566112370322707,7.81413417002831
Austria,2022,473221298968.216,5.33096379400371,9041851.0,3.0221599256451,8.54686993188457
Austria,2021,480466363176.806,4.92309171717903,8955797.0,3.95409878611296,2.7666666666667
Austria,2020,434397601557.696,-6.31825509209936,8916864.0,-2.76332070661681,1.38191063351853
Austria,2019,442983642371.842,1.75497619649288,8879920.0,-2.85255617561831,1.53089564152643
Austria,2018,452582294972.775,2.48422114080024,8840521.0,-6.15119207172195,1.99837981429548
Austria,2017,414926138132.691,2.27224992038207,8797566.0,3.38180275607348,2.08126911385586
Austria,2016,393687359770.273,2.11721964494312,8736668.0,-7.23989904197038,0.891591752655362
Austria,2015,379546097300.633,1.30352331826198,8642699.0,-1.80409511056007,0.896563335260319
Austria,2014,438556021078.034,0.755798850316665,8546356.0,0.389557041234778,1.60581182954473
Austria,2013,426580502769.417,-0.250726423318454,8479823.0,-0.302633479129545,2.00015616900597
Austria,2012,406750487603.59,0.628246239479637,8429991.0,1.2830027920872,2.48567562177014
Austria,2011,428954737064.057,2.92746800169145,8391643.0,5.35812778038962,3.2865791487538
Austria,2010,389827789217.634,1.80898243043663,8363404.0,-5.64539670207833,1.81353438995061
Austria,2009,399290118782.429,-3.58626472551299,8343323.0,3.58137196898673,0.506308827696504
Azerbaijan,2024,74315882352.9412,4.07140205008956,10202830.0,0.311206693209432,2.21217188919901
Azerbaijan,2023,72428470588.2353,1.35447749115767,10153958.0,0.349083720733803,8.7854304984908
Azerbaijan,2022,78807470588.2353,4.71468033247649,10141756.0,-5.67773710614177,13.8522590144267
Azerbaijan,2021,54825411764.7059,5.61644027150554,10137750.0,-3.11473447263613,6.65029912708778
Azerbaijan,2020,42693000000.0,-4.19896065333343,10093121.0,1.18790387182911,2.75980947008127
Azerbaijan,2019,48174235294.1176,2.47980879185565,10024283.0,3.12183056112494,2.61057182799215
Azerbaijan,2018,47112470051.7701,1.50040167167313,9939771.0,2.97797589143235,2.26854690373999
Azerbaijan,2017,40866627351.9817,0.153614661745507,9854033.0,7.01669598350389,12.9359184187334
Azerbaijan,2016,37866996882.9157,-3.06359842251706,9757812.0,11.8828171505465,12.4433748584372
Azerbaijan,2015,53076235354.746,1.04954641215085,9649341.0,7.62606837682972,4.02768573742725
Azerbaijan,2014,75239785452.1022,2.79758521448559,9535079.0,5.88846176710651,1.37344181533176
Azerbaijan,2013,74160560123.6902,5.84341590483928,9416801.0,3.53211598676051,2.41571745279419
Azerbaijan,2012,69679944504.1972,2.20293891708398,9295784.0,7.59651867931835,1.06621339720302
Azerbaijan,2011,65952796427.9473,-1.5729973511111,9173082.0,6.80050011965746,7.8583333333334
Azerbaijan,2010,52909294791.9262,4.78883248761557,9054332.0,6.337255132933,5.72687224669605
Azerbaijan,2009,44292427184.9492,9.36950260277183,8947243.0,6.54746236391725,1.45704835970321
Belgium,2024,671370081636.406,1.07045413019414,11858610.0,-6.1601989579997,3.14349136500041
Belgium,2023,651330595110.011,1.71412195515242,11779946.0,-0.652181403274143,4.04901077613941
Belgium,2022,591085783326.267,3.9562379757933,11680210.0,2.22243107053374,9.597511728725
Belgium,2021,598522422241.851,6.25445686466593,11586195.0,5.6774240968721,2.44024851144084
Belgium,2020,529694473501.791,-4.7929839083518,11538604.0,-5.69020542304612,0.740791812220343
Belgium,2019,536726344405.489,2.4428900448156,11488980.0,-1.97252997818915,1.43681956996438
Belgium,2018,542638913427.921,1.87796847383565,11427054.0,-7.66649538713467,2.05316499865177
Belgium,2017,500908767351.53,1.47446761556785,11375158.0,-7.4442379017663,2.12597086002616
Belgium,2016,474271566739.729,1.19350273007754,11331422.0,12.1319420227113,1.97385264653162
Belgium,2015,461044767544.531,1.47416433731927,11274196.0,-4.23261410354123,0.561429152790157
Belgium,2014,537987419164.351,1.76554038149924,11209057.0,-2.82643623555084,0.340002833356921
Belgium,2013,524097026598.55,0.305494549070232,11159407.0,-5.65561784857252,1.11309594027539
Belgium,2012,498414364944.961,0.215803612089744,11106932.0,2.36956900950954,2.83966343445899
Belgium,2011,527196649048.639,1.93115502411325,11038264.0,31.0366884311298,3.5320821072274
Belgium,2010,481556503720.001,2.71031150254662,10895586.0,26.0596407490286,2.18929920422458
Belgium,2009,485014525992.461,-1.90644105515335,10796493.0,15.948905674901,-0.0531456741254176
Bangladesh,2024,450119432068.852,4.22325911250161,173562364.0,0.283870773350074,10.4657482763412
Bangladesh,2023,437415333018.291,5.77511237007889,171466990.0,0.335721505298968,9.8835030377921
Bangladesh,2022,460131689083.083,7.09982877575158,169384897.0,0.347960024540439,7.69695437176898
Bangladesh,2021,416271647911.014,6.93867912442445,167658854.0,0.414118154040593,5.54565430773473
Bangladesh,2020,373979442362.193,3.44801755122445,166298024.0,0.407859894856915,5.69107474746211
Bangladesh,2019,351231654603.692,7.88191515117722,164913055.0,0.543244141585063,5.59199639930629
Bangladesh,2018,321362752441.78,7.31941263014136,163523103.0,0.75354913412869,5.54362139486476
Bangladesh,2017,293732446624.596,6.59024999794057,162186147.0,0.616341784631384,5.70207015717238
Bangladesh,2016,265224515675.034,7.11347821270093,160811932.0,0.879528340271998,5.51352572692995
Bangladesh,2015,195146608978.131,6.55263987816197,159383179.0,1.4507824552936,6.19428022984983
